	Pt101_On_AD681975-5	Pt101_Pre_AD486328-5	Pt103_On_AE134059-6	Pt103_Pre_AE134058-2	Pt105_On_AE373241-6	Pt106_On_AD513626-6	Pt106_Pre_AD502250-5	Pt108_On_AE373243-6	Pt109_On_AE527955-5	Pt109_On_AE527955-6	Pt10_On_E9047632-6	Pt10_Pre_E9047565-6	Pt11_On_AD314068-6	Pt11_Pre_AD153352-6	Pt13_On_AD314067-6	Pt17_On_E9261162-5	Pt17_Pre_E9047563-6	Pt18_On_E9261163-5	Pt18_Pre_E9024732-6	Pt1_On_AD174047-6	Pt1_Pre_AD101148-6	Pt24_Pre_AD436687-5	Pt26_On_AD467915-5	Pt26_Pre_AD467789-6	Pt27_On_AD467934-5	Pt27_Pre_AD453873-5	Pt28_On_AD167375-7	Pt28_Pre_AD297619-6	Pt29_Pre_AD497504-5	Pt2_On_AD174046-6	Pt2_Pre_AD101150-6	Pt30_On_AD505620-6	Pt30_Pre_AD497503-5	Pt31_On_AD467932-6	Pt31_Pre_AD453872-5	Pt32_On_E9414883-5	Pt34_On_AD485757-6	Pt34_Pre_AD466985-6	Pt35_On_AD485758-6	Pt36_On_AD495182-6	Pt36_Pre_AD467095-6	Pt37_On_AD495183-5	Pt37_Pre_AD502452-5	Pt38_On_E9414881-5	Pt38_Pre_E9200719-6	Pt39_Pre_AD485899-5	Pt3_On_E9047638-6	Pt3_Pre_E9024733-3	Pt44_On_AD167376-6	Pt44_Pre_AD467790-6	Pt46_On_AD781834-6	Pt46_Pre_AD467096-6	Pt47_On_AD530367-6	Pt47_Pre_AD506073-6	Pt48_On_E9047631-6	Pt48_Pre_E9047561-7	Pt49_On_AD681976-5	Pt49_Pre_AD667851-6	Pt4_On_E9047643-7	Pt4_Pre_E9021023-6	Pt52_On_AD530365-6	Pt52_Pre_AD506075-6	Pt58_On_AE045812-10	Pt59_Pre_AD823915-5	Pt5_On_E9047635-6	Pt5_Pre_E9021022-6	Pt62_On_AD635728-5	Pt62_Pre_AD608303-5	Pt65_On_AD796996-5	Pt65_Pre_AD793919-6	Pt66_Pre_AD667850-6	Pt67_On_AD530366-6	Pt67_Pre_AD506074-6	Pt68_On_AD635729-6	Pt69_On_AD635730-6	Pt72_Pre_AD793922-5	Pt77_On_AD733629-8	Pt77_Pre_AD733591-7	Pt78_On_AE148748-6	Pt78_Pre_AD467018-5	Pt79_On_AD733628-6	Pt79_Pre_AD733587-5	Pt80_On_AD467874-5	Pt81_On_AD681973-5	Pt82_On_AD125218-6	Pt82_Pre_AD823914-8	Pt84_On_AD495199-6	Pt84_Pre_AD486532-5	Pt85_On_AE070989-10	Pt85_Pre_AD486329-5	Pt87_On_AD495198-6	Pt89_On_AE070987-5	Pt89_Pre_AE070951-5	Pt8_On_AD167380-7	Pt8_Pre_AD153354-6	Pt90_Pre_AD467873-6	Pt92_On_AE148750-5	Pt92_Pre_AE134060-5	Pt93_On_AE070988-5	Pt94_On_AE373242-6	Pt94_Pre_AD732850-6	Pt98_On_AE086717-6	Pt98_Pre_AD733586-8	Pt9_On_E9047644-7	Pt9_Pre_E9021024-6
NAT2	4.82709144165301	4.74564207173639	4.74632746062211	4.74806263348202	4.7456099399931	4.76443090310236	4.78747233171566	4.78918774070611	4.74656372283464	4.74620255183436	4.77927809312986	4.74441224070534	4.7461232714573	4.7456533471011	4.74569155280688	4.7457141844871	4.74575281285901	4.76339603118267	4.74572174984864	4.76154036463885	4.74574405810127	4.74690311412447	4.74590275168003	4.74585230103613	4.74592458332048	4.74692810411989	4.74592784751912	4.74649085879765	4.7458005762097	4.80043691513101	4.78153757430164	4.86792267932382	4.83979834712684	4.77955443622951	4.80387354201184	4.76798880764615	4.77213666003797	4.74720718065855	4.74606518506074	4.74565213107664	4.7466118752944	4.74653943627612	4.74577853167803	4.7446503121829	4.74524005987939	4.74661322281371	4.7835428066873	4.76157564343717	4.81729196903353	4.93575617409904	4.7476358937662	5.01972451867919	4.76278486543291	4.76172453210836	52.206593789378	24.1295028234763	4.74617717683081	4.74605063220324	4.76247148069457	4.745710430347	6.91671977519271	17.3844573207293	4.74613905389564	4.7631323030958	4.78005356030727	4.93029734517895	9.16091421016917	4.74662927146498	4.79727329847375	4.87712051122501	5.15282238738107	4.90642014067315	4.78458978120551	4.77707778065745	4.74743243574984	4.74676543851478	4.74553668611249	4.74596364285899	4.74658724489766	4.74740528209139	4.80233688897941	4.77793620058355	4.74490378580457	4.74573149845799	18.334212257305	6.20306871605037	4.74621399791157	4.80765024748877	4.74579953746937	4.77818228873669	6.05599474670711	4.74589249172952	4.74519507401367	4.79618471928328	4.74567116996556	4.74595833645954	4.74618458629997	4.7462874845311	4.74535735405957	18.7820188945372	4.7676668393426	4.74590088363225	4.74610746770952	4.90040124452065	4.88925657497388
SNORD116-1	-0.124352338901103	-0.123136537600657	0.470071290053037	-0.117971197738694	0.176345745202836	-0.122183254477691	-0.124151140569372	-0.120866766527781	-0.121135872635517	-0.121914791073616	0.501434275926201	-0.12587430728561	0.633952973182353	0.717380178754019	0.0444112182540454	-0.122978449276003	-0.122893876089748	-0.122575238479143	0.65787294228034	-0.12328225014678	-0.122913037128255	-0.120409806321552	-0.122566319778625	0.420546291869678	-0.122518721698675	-0.120356567864353	-0.122511607059916	-0.121292492277787	0.0491539594472119	0.439739988760402	0.056026069202732	-0.121322837359742	0.064448381889184	-0.12285398703354	-0.121793763174253	0.0988063008425488	-0.11931514547817	-0.119764087851392	-0.122212755156151	-0.123114469145227	0.922859423362744	-0.121188046849012	-0.122837609404639	0.195800914321548	0.437198483875915	0.0833935743323681	-0.122026111177556	-0.123268759090521	-0.119908346217308	-0.123335176679372	-0.118861233926405	-0.120976305632605	0.309352871571807	0.0407409426262483	-0.117234460513132	-0.116055555057237	-0.121969760911202	-0.122244377605241	0.730194960911983	1.32559621511667	0.815838498806426	0.794284394783754	0.918798854502739	0.747350211485022	0.416915041249778	-0.121241561188249	-0.121644156567521	-0.120995201661297	-0.12273531790514	0.262314002191686	-0.12282256808466	-0.0947286464519875	-0.112887134673035	-0.123371775603049	-0.119288612799175	-0.120703656493108	-0.123368047760219	-0.122433623058795	-0.121085368576029	-0.119345800497968	0.709434132467908	-0.123191984231161	0.0089940552370085	-0.122940532538443	-0.121519680238059	0.834578949668966	-0.12189000602243	-0.121259232773174	-0.122791678736683	-0.123140505823348	-0.122480598920313	-0.122588697222886	-0.12412244152004	0.409890120207179	0.400820449845602	0.201272264024143	0.455501561290761	0.0698975183155972	0.268115077648547	-0.119182039016928	-0.120968057372712	0.197221717799883	-0.122120938174523	1.04016575475253	0.390219659234855
VTRNA2-1	-0.972332429009819	-0.971819629412525	-0.470764719364541	-0.198775231368862	-0.971849396374704	-0.971417031397873	-0.972247619515297	-0.970100329741798	-0.794939847379008	-0.971303569080646	-0.824315178874296	-0.972973304861644	-0.971376204243874	-0.285986315837615	-0.971773828745743	-0.971752896062022	-0.971717190248607	-0.971582632706889	-0.971745900833156	-0.213445269504496	-0.97172528013247	-0.969582401574885	-0.971578865689362	-0.971625360546216	-0.971558760870666	-0.969523121230015	-0.503930759341396	-0.167304430793439	-0.971673080065513	-0.971459107134671	-0.97152611040622	-0.970634565338517	-0.971344392606192	-0.97170034829944	-0.971206104589737	-0.794731442568413	-0.965705968172857	-0.968877367623178	-0.971429497233421	-0.971810314480597	-0.970292401537303	-0.547156020276337	-0.516883218591344	-0.972747648595672	-0.972193489865134	-0.970289031655116	-0.971350621379006	-0.971875433966135	-0.969032307430467	-0.97190346240965	-0.961392907753021	-0.653318423180343	-0.971680721887462	-0.97185141363276	-0.947076472438453	-0.937646316874934	-0.679354705576623	-0.813144799909916	-0.971731102429599	-0.971756367693706	-0.971607985319913	-0.969936653699152	-0.971361735221017	-0.97162493334072	-0.971656431257136	-0.970538022464976	-0.971022224107446	-0.970248960124189	-0.700087741331416	-0.972139355097224	-0.971687082031193	-0.917258088840952	-0.92875419687832	-0.97191890632309	-0.965449589555987	-0.969913543499344	-0.97191733328921	-0.971522813446593	-0.97035414262544	-0.966002857697038	-0.972211709239424	-0.971843031938442	-0.972508631967382	-0.971736888504493	-0.970870893213235	-0.970640246202182	-0.677229115729073	-0.970558962798028	-0.971674038894246	-0.8281852332016	-0.971542657473154	-0.59385472919769	-0.570730218626408	-0.823976298604309	-0.971792689819882	-0.971527695350555	-0.192229247931353	-0.97112873786654	-0.972084086078825	-0.964425227073424	-0.970217431696334	-0.309787317279843	-0.577890578189027	-0.972244894904661	-0.971881148909927
PLCE1-AS1	0.295944985242472	0.365805956462006	0.441586749790351	2.50080826972871	7.53554727986959	5.92441711068472	5.85393901405824	0.4775892914754	3.98868555987007	3.84722797657723	5.51957542105417	5.49686287938991	0.420124381043017	0.367144673037629	4.38145389732008	4.00682859350387	4.97092732800336	0.395462634914101	0.375194309053853	7.86000108318815	5.9278081282681	2.67580784965913	2.94354313767985	4.01038990875529	2.45485445006003	3.46200840074427	3.36503378782848	0.458154104292435	1.09192387988378	1.56565638055435	1.12078863706135	0.456744487239051	1.59073027710086	2.24924176412778	3.13196970778675	1.3931527707784	0.543556120847001	0.525196376000275	0.413856080547284	2.65558595499512	1.99428257158332	0.462980745484023	0.381784633290581	1.73121641619795	1.38823210086195	3.95243048868422	3.10485952403884	2.749999304233	0.519177037557881	3.38533257712888	0.561572701710234	0.472648337571176	1.51537255118235	3.27232271587029	0.622107179223146	2.37406207406318	3.0149224230463	4.06790400600442	0.377060633312998	0.373870654356533	1.83852040050421	0.483971409034056	2.33878035855385	2.58174840183549	2.81622780588589	0.460512584254032	6.97706462007203	6.86796097603368	1.52244053891392	3.0288600968572	2.5640220527044	0.75118651809353	4.66166417676648	1.45834506017968	2.39605177152129	0.484872328042103	0.353127159002585	2.73921330028601	1.9894842849933	0.542319947534191	2.09871329420161	4.15046089093655	3.03630810969301	1.50221671666094	3.55369878149074	5.215201352882	4.18916316072274	3.09481263220905	0.38420199886579	1.06183147744486	0.400320070428009	0.394768618851332	2.25318444123544	2.68362899970196	2.77546415297849	5.77014260821208	0.426661351762366	1.17701283879565	0.330828789874653	2.15047808603668	0.473021805609441	7.86925475413615	7.854410851613	0.96968497968245	2.74821982788299
DNM1P35	2.04239776378614	3.24367728803978	3.93566354066142	1.87393913896622	4.61988475878162	2.72878015106986	2.72792986876226	4.56567659555535	4.83923446136081	4.49327066505919	4.37284666940927	5.58318051273726	6.01041857645651	6.32389512759398	4.39799021147964	5.19104484684101	4.75236532984404	2.16170399265932	2.43328602369634	7.56711551120347	7.333283569335	3.81746041206743	5.90243924686068	5.65395341536452	5.03728814990045	5.7751259978857	3.69183941211822	1.77244306529383	5.13562403572495	4.4905998260389	3.84931273079372	2.23736036660969	4.14709058091148	2.67133938098986	2.95395879569876	2.51866745013288	1.83448558048837	2.91310498078317	5.18928610131093	6.29409844477104	3.45217744166843	5.19818195138749	7.68173038507878	5.40685252612514	5.16619695418977	5.16693549763358	3.23521608561647	4.54684778047559	3.27520154738142	4.80311583127883	2.71592990234461	3.76468488564768	4.50231501435524	4.33409584426876	3.29044997563156	3.54392221034506	3.82835510086824	4.00315440763256	3.92378927286968	4.51544358692454	5.11319279081559	5.46857959490475	2.93140230544393	4.78077816952734	3.39364165874547	3.73914032633517	3.27112495346514	3.76288336471094	4.98511897577163	4.35550793499538	6.12516756653714	3.01328102228422	3.43319300939839	3.59256956606173	2.9458757476393	4.62528313729197	2.96397357169913	4.7818273266537	5.5942118490131	5.48554455839563	3.83640604989111	5.08046526201074	4.38780987966768	4.8029458101391	2.97735484785001	3.42515852998556	2.51514297304713	2.80302963356491	5.04792909772039	4.16729847005444	1.73255114247162	5.67942900233391	5.04185929247772	5.90071101134564	5.68971958572446	3.05604523947396	4.15351735669844	5.15862541946191	5.62314669573089	1.83848527771947	3.18885052399304	3.41278080797032	2.92534496914171	5.43516492563486	5.82233476637014
HPN-AS1	4.38973266115516	6.66150777420261	4.51644155663483	2.39546934161161	3.04241079789738	5.0832537258816	4.97803489647962	2.17275243801638	3.45433378826523	4.13593410610843	4.8710549236501	4.80449229211903	9.30247340736806	9.04548621105249	10.6362847126714	1.9740087628229	2.37022993573306	2.92891972857699	8.40387206428642	1.36400942807381	1.39533332289236	1.58211291443652	7.87795667419022	8.5330348687793	7.43699285752978	7.59310321256571	5.85019236253062	7.28317374366757	5.99204910823179	4.92007546426013	5.11623117195247	2.53444191920621	6.13424267512942	2.89527859713442	3.01835802491354	6.4167203403507	1.65270660877679	3.74389646643272	4.44410755469244	6.56735420126171	1.53926824636114	10.4020800976145	10.5232009304615	2.88161487206279	1.29749158688664	5.74251876798598	5.26866861668642	5.31298745585606	1.61515480029273	6.85494806108473	1.68040300018532	1.54322305938392	6.68693624716749	6.15144150737693	6.68807515977706	6.79470380331953	6.78288174017899	6.73498444775638	6.10261527174023	7.26708779429917	9.33767599775126	9.24643740830938	6.63928190151485	8.14734648392196	1.40881033960547	2.14016318847592	3.7914939933866	3.86562883105388	7.68984428092966	5.70319448817731	9.56911202137571	1.96982442239615	3.82070757503228	3.56941896634873	1.65434955268319	10.6575107170861	2.60170505513	7.91184093650289	8.79838977331443	9.94922487622023	7.75162488325811	5.04001323878785	9.72099085971252	9.77343877605292	4.26232458354291	5.08288275627023	2.77289822975598	3.71851854459276	4.72373987024915	4.37446608704658	6.63598133956982	7.60143901624001	7.42790996580804	6.50603628771307	5.78443310551061	8.47182679010796	10.1799863662215	10.4283007544712	3.958698350922	3.79976177552043	1.54380189819968	4.56338938339124	3.73408694797807	3.65345717309622	1.36400502719338
LINC01531	3.09147329207196	2.40028369065435	8.61441473819825	6.28300191248591	9.07208175997926	9.31264371795554	9.32459236301002	2.23574459946147	6.94337723114372	7.77200460163333	1.47206932334458	2.8329969920926	6.51840326969857	7.74288911507674	2.41268730271107	10.551136463256	9.19252832153787	3.72054589144336	7.05418575311908	10.6178224766405	8.94033307945801	3.40797596028417	10.3191430358441	10.4141427542982	2.08453725512417	5.78508152127803	9.9878228006769	10.2788477230613	7.10672644849694	5.63554434891837	4.71845909985458	2.19616955651765	1.5438617915536	9.22738134086555	7.05106454286332	7.87907238501291	1.72898741892096	3.03325999885341	6.81479520303379	5.91267964928689	2.61871633004895	5.13619071748075	7.2604139787131	3.30021375088768	7.2437468477681	5.75305694821174	4.16292384778369	2.66792642293459	1.69147865075604	5.74159828585264	1.75665461764746	1.61963816529979	6.02237591124345	5.66700290195261	1.84933215947801	3.01154584463229	4.78092211126467	7.53666060277161	6.27834333448196	7.93739797333681	1.49475367038273	4.53697508394238	5.87428649336018	7.80819360967559	4.93115147275182	4.3354260649195	8.93644186172052	10.5626194113863	6.39039050947189	6.16939671732182	5.95705267399584	5.65432140125802	8.4921559248989	9.1331102730448	3.07503684242356	4.93516452188215	3.50037943135704	1.51093437979581	1.611958359917	1.72708750224909	7.47988931175748	8.68624881200586	6.16245455748569	5.04767885196148	8.77097211057224	9.36919968744844	10.4352853282691	10.8880518948598	6.52264592747577	5.59720980478366	1.50719198518888	1.49851769858852	1.36487689967526	8.07997501825025	8.30340833558677	6.71895895047672	7.40239796626056	10.6403058421969	3.44428155655456	6.62535348763611	6.64408008240231	9.7931918202963	9.70554374486733	1.90978669968163	2.38339189377867
LINC01310	-0.579806984320289	-0.872143171822957	-1.10633042337109	-1.10258024507894	-1.10773019510771	-1.10697804281553	-1.10803180868577	-1.1054474752458	-1.10574640471684	-1.10665123531368	-1.1076357891951	-1.10858210596299	-0.960407559839005	-0.534767795885482	-1.10767298923173	-1.1076571444896	-1.10763011903232	-0.463454164876875	-0.563079016657306	-1.10775421874686	-1.10763624202391	-1.10495442183161	-1.10745907454381	-1.10756062324474	-0.966862103716846	-1.1048981112734	-1.10738926136724	-0.599453969079726	-1.10759673520229	-1.10710137558352	-1.10730026407522	-1.10595805812844	-1.10676786924394	-1.10761737220134	-1.10650652868756	-0.939803774025132	-1.10383986717589	-1.10428634922233	-0.849995491990859	-0.786693775178589	-1.10563080963728	-1.1058051341764	-0.864873968989315	-1.10841089521615	-1.10799079588278	-1.10562759078746	-1.10678575789805	-1.10774990810335	-1.1044328585272	-1.10777112959045	-1.10340216705365	-1.1055683590058	-0.564862265114439	-0.473252674100248	-1.09796146810994	-1.08817150869965	-1.10671748991906	-1.10705360865686	-1.10764064881193	-1.10765977225049	-1.1075474753731	-1.10529145259775	-1.10681773787507	-1.1075602999716	-1.10758413572749	-1.10586563956354	-1.10632981921593	-1.1055893213887	-1.10757944973723	-1.10794978396029	-1.10760733194587	-1.06700537590831	-1.07894011339001	-0.515649180926033	-1.10381391253446	-1.10526943844469	-0.877842477137271	-1.10729040470116	-1.10568979789323	-1.10386991304386	-1.10800459975627	-1.10772537677514	-1.10822963882161	-1.10764502823804	-1.10618456822074	-1.10596349836163	-1.10662147119942	-1.10588567971911	-0.64665088367273	-1.10770892792697	-1.10734986283549	-1.107487737826	-1.10802264117276	-1.10762936671111	-1.10768726649813	-1.10730500648133	-1.10669810500076	-1.10643215021488	-1.10790791764522	-1.10371013115284	-0.590191644992618	-1.10746428804344	-1.10690145121911	-1.10802974419656	-1.10775423501941
PCBP3-AS1	0.0865986036404232	0.098268351006915	0.111997096211278	0.143372681132243	0.485948199798795	2.24177596201022	1.83125683369602	0.118916245295988	0.116540451622323	0.822853736905574	0.100378489413799	0.568410583101391	0.533429861454975	0.0985011424694664	0.0992881505686839	1.83689356288812	1.38282993639492	0.103507085040679	0.0999082417126366	0.0968933756991271	0.100365240822197	0.122908459749167	0.513476145748503	0.102569551399115	0.104029567328754	0.123370187643178	0.104095276258756	0.11514913770377	0.101518903907159	0.10620060619789	0.104742670776941	0.114878831467268	0.10867986718272	0.100916825631756	1.34956085572272	0.592109543442004	0.132264417414767	0.128461993399406	0.806263278639854	0.0984760479924273	0.117455147151092	1.70481845921764	0.101069630073232	0.0767921150918126	0.697528710487714	2.35424396621869	1.64272073704907	1.35161538763264	0.127230038363619	1.23147241566275	0.136061423111879	0.117951423773046	0.101350299458796	0.0975585310853833	0.149295594123622	0.158542318592587	0.10905813430583	0.106553050864963	1.26440335484375	1.93626581280002	0.986685164193699	1.73705600061429	0.108306402928485	0.102578940114296	0.10188589461779	0.115602278515347	0.11200172866127	0.117784677164455	0.102022270788155	0.0910477060098472	2.31479150742257	0.179953143080037	0.167643941190806	0.0960454720803178	0.132487667681467	1.10730308928284	0.0960808264714814	0.104814581038536	2.49345792300939	3.04296713102565	0.694744762904098	1.24316726944187	1.66348717728752	2.11885041518932	2.50348715021466	2.65491126301621	2.12777611758826	2.24725591205573	1.27502466368475	1.11294355133439	0.104381492566418	0.103382529303567	0.088840260013359	1.38302228566384	1.36808586653116	2.84581203841729	0.109203945457989	0.111219094144399	0.0923088181265368	0.133382757452281	0.118024181256095	1.15536850654049	1.71468210803935	0.878807222585336	1.45047886291377
KPLCE	-1.46822588486193	-1.33536392988854	7.65840518869211	9.66002970242216	-1.34251301661531	-1.24431626263321	-1.44470127938537	-1.13289251417541	-1.15450688134015	-1.22036863185951	-1.31296766434785	-1.64777414755432	9.86390527474221	9.9979253378235	-1.32448422714383	-1.31955935001289	-1.31122624116039	-1.28055930775514	-1.31792012288132	-1.35020306376829	-1.3131068952109	-1.09740049557169	-1.27971696360857	-1.29017435356644	-1.27523578821228	-1.09335967008519	-1.27456803395655	0.115878698660121	-1.30104685807815	-1.25337554777991	-1.26800969163535	0.810583372131889	-1.22890563232231	1.40880094943872	-1.20979178675106	0.208402905944736	-1.01790721477847	-1.04962807467183	-1.24698996212305	-1.33313951026991	4.03501161349718	7.83141175958726	11.3432233273671	-1.5835195784455	-1.4300354460147	-1.14590727773682	-1.23021593719263	-1.34881792945272	-1.06007309533314	-1.35565956683795	-0.986971906577219	-1.14162441666735	8.41650896145784	-1.34299975997964	-0.884287664834973	-0.816650131309695	-1.22521681074009	-1.24986546542877	-0.0595876980250363	-1.32037408994966	-1.28625088165756	-1.12163992874886	-1.23255902802813	-1.29007766288831	-1.29723725199312	-1.1631483945026	-1.19689830724449	-1.14313981515635	-1.2958248318105	-1.41562810848817	-1.30426450383597	-0.67041612192558	-0.75287164321047	-1.35945392916977	-1.01606834614296	-1.12005382930545	-1.35906665065544	-1.26728351775218	7.08863868656474	-1.02003664679153	6.91251850001073	-1.34097923496258	-1.51940219290875	-1.31581302396604	-1.18631877357457	-1.17024922884784	-1.21819177141936	-1.16460192256039	-1.3012667960945	-1.33576454617095	-1.2716639403259	4.58186488155927	7.92470595219915	-1.31099546249521	-1.32894713293802	2.69986541691145	2.97930241087197	-1.20436179362678	-1.40117727676761	-1.00872113418132	-1.14096377918019	-1.28010162596698	1.17190459725147	-1.44395671383151	-1.35020829701395
