,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,363.5609222823759,-0.8694509758988114,0.31810835445678937,-2.733191265546955,0.006272389655729166,0.0545535025422132
10,11.1060994226476,-2.8763771206160715,1.0040763055177409,-2.864699729302844,0.004174048332207109,0.04200219103213223
100,701.8540396545069,-0.27590278190038814,0.24939241906466847,-1.1062997942565584,0.26859678082348915,0.5600658053939602
1000,1101.3398217793872,-0.24324606957164752,0.44774100732854366,-0.5432740481444405,0.5869411297777032,0.8466841973252875
10000,5728.854091689073,0.12457996522806179,0.21308685241771094,0.5846440726612714,0.5587870667463211,0.8269421324533955
100009676,141.1278040518514,0.40261922254617866,0.13347303738182498,3.0164835568580783,0.0025572508715269123,0.03015867534748565
10001,782.366101074253,0.00242604195603261,0.07559512246448487,0.032092572601788986,0.9743982265661466,0.999690891022857
10002,3.4722204843966864,0.15913409726524338,0.4503099420681635,0.35338792773346145,0.7237976350168516,0.9289910767474054
10003,89.61438529938918,0.1435611740768748,0.30779288667637517,0.4664213511464945,0.6409139315051745,0.8803077057349832
100033413,1.6796079690669077,2.163814861970902,0.8617109000007059,2.511068227138742,0.012036643104489504,0.0846578505805759
100033414,7.342708079821785,0.9631591704402785,0.4888026914520576,1.9704457182489683,0.04878731029361946,0.20519205248444436
100033415,0.3149350116595369,-0.28789114297346574,1.2338994567399009,-0.23331815359908337,0.8155143630307632,0.9767854165362677
100033417,0.05322520115884246,0.07540486075564054,3.577384204190788,0.02107821146727998,0.9831832657640805,0.999690891022857
100033420,0.39525648921631407,0.951580584600879,1.217075460736094,0.7818583278520445,0.43429783770104824,0.7302934555926948
100033422,0.03662339564185051,0.0402173864443705,3.5778216861745835,0.011240746457482355,0.9910313708210043,0.999690891022857
100033424,0.3243717369081197,0.12783088610439516,1.4075645829365058,0.09081706633859053,0.9276379491129818,0.999690891022857
100033425,5.116942730406697,0.3157659977670078,0.4766397015238422,0.6624836260124519,0.5076613251691056,0.7888051333917303
100033427,0.32305005370320583,0.00028124457695940277,1.5847575940018048,0.00017746851507378388,0.9998584006125373,0.9999463324627211
100033428,0.5434440374150891,1.4447001915432414,1.200625356541926,1.203289755352416,0.2288642120904072,0.5106218409790766
100033430,0.25739566626035404,0.12018149138215632,1.665639229050428,0.07215337468406718,0.9424798500207482,0.999690891022857
100033431,26.585998794957334,0.5261446275361789,0.3614911619609827,1.4554840696021438,0.1455352972888976,0.3942786774038472
100033434,0.26236993195775565,-1.063117508380042,1.416208698203121,-0.7506785615205729,0.45284612821280423,0.7454753527323232
100033435,4.339029669304489,0.11454378220266989,0.4373424353565651,0.2619086851457312,0.7933918435137012,0.9665755434284479
100033436,0.12788974502929307,-0.4110947120159346,2.6286522513233246,-0.15638991875360464,0.8757256830729413,0.9974059839746787
100033438,4.681032301492999,0.44228594151787104,0.5086450388362457,0.8695375119155769,0.3845531996397683,0.6842807248948696
100033450,0.054006350922292126,-0.6574096209455762,3.5539295321028814,-0.18498105125809372,0.85324389798671,0.9905554557059543
100033820,1.3139931112489396,-0.4146691574870475,0.7898250286915601,-0.525013949195807,0.5995734939588735,0.8545822781227213
100033821,0.21036189363524685,-0.9936388745215902,1.8956629881577858,-0.5241643059598969,0.6001642648552628,0.8547092424134748
100036567,0.049121860703588746,-0.4768837460611552,3.563558315847535,-0.13382234940295515,0.893543053886952,0.999690891022857
100037417,89.74356448964136,-0.33308193792172314,0.23105188799551646,-1.441589336539793,0.14941825843224624,0.40018377209538014
100038246,0.5328193730979993,1.1617537187160158,2.07745783713918,0.5592189155163989,0.5760123253272444,0.8392270315699261
10004,173.25410344649066,-0.1386187743894859,0.29105982994592206,-0.47625525794899565,0.6338925365747607,0.8748936953770213
100048912,48.21782203051304,0.6089155271419621,0.4141364007901121,1.4703260229727202,0.14147347634233212,0.388031523718882
100049076,27.129569189835934,-0.11448318213467554,0.2167827699340621,-0.5281009287292409,0.5974292862713477,0.8530082408675741
100049587,237.97261936151529,-1.1170280213694106,0.3688023421766995,-3.028798610053901,0.0024552829639634412,0.02925207481756982
10005,467.9407224197126,0.1106912276040045,0.11714967861609722,0.9448700919337795,0.3447252021959971,0.6456637444597838
10006,4961.63349367531,0.0319134575948613,0.135139225392981,0.23615243836168126,0.8133143844627209,0.9759067605959661
10007,3751.886833458,0.22896373050722302,0.1566180650791561,1.4619241426045124,0.14376199831729988,0.39159276088200196
